gaze_x,gaze_y,pupil_x,pupil_y,pred_x,pred_y
360,233,153.49339294433594,246.6290283203125,826.0952861969523,555.0526220249124
360,233,152.95974731445312,247.10250854492188,829.4924954024656,552.5958649427088
360,233,153.07557678222656,246.99374389648438,828.727446449462,553.1312301200213
360,233,152.36622619628906,247.06838989257812,830.6821602496424,550.0616104300466
360,233,152.81239318847656,246.7531280517578,828.2139638144433,552.0871561272825
360,233,153.1234588623047,247.02932739257812,828.7830427439903,553.3240780332684
360,233,153.1239776611328,247.0004119873047,828.6483703477809,553.3365221163688
360,233,153.33546447753906,246.68653869628906,826.7192644930207,554.3547572419681
360,233,153.03941345214844,246.68775939941406,827.3968804949266,553.08421407764
360,233,152.96798706054688,246.55787658691406,826.9593702355386,552.8236810640633
360,233,153.50286865234375,246.5992889404297,825.9364792217331,555.1037840307296
360,233,153.10121154785156,246.6101531982422,826.8983229840063,553.3767640105378
360,233,153.02786254882812,246.45101928710938,826.3301320550482,553.118319640981
360,233,153.11068725585938,246.34934997558594,825.6727550267548,553.5095810954688
360,233,153.1293182373047,246.27313232421875,825.278589343277,553.6164457010019
360,233,153.14181518554688,245.82432556152344,823.1782008459064,553.8286625516074
360,233,153.1201629638672,246.03639221191406,824.2064032725947,553.6608289444761
360,233,152.87210083007812,246.0537872314453,824.8497660497501,552.5904508958488
360,233,153.00784301757812,245.82015991210938,823.4630608482405,553.2553701078517
360,233,153.07090759277344,246.25091552734375,825.3086014508707,553.3737047407826
360,233,152.81024169921875,246.26983642578125,825.9876169818176,552.2487150847603
360,233,152.6270294189453,246.0122833251953,825.2144195997497,551.5537177271601
360,233,152.98309326171875,246.08514404296875,824.7426001846004,553.055547148411
360,233,153.19187927246094,245.986083984375,823.8113608411375,553.9862830190915
360,233,153.0039825439453,246.06968688964844,824.6238238184116,553.1506282657831
360,233,152.77105712890625,246.0509490966797,825.0660133904098,552.1579583296118
360,233,152.5927734375,246.231689453125,826.3051146358825,551.3292180594116
360,233,152.63018798828125,246.37289428710938,826.8720961938491,551.4398331391395
360,233,152.07415771484375,246.59951782226562,829.1804419435855,548.9742780115628
900,233,153.03004455566406,247.7002716064453,832.0926486580516,552.6862106570205
900,233,152.78903198242188,247.68121337890625,832.5517152012146,551.6589586051127
900,233,152.68812561035156,247.5634002685547,832.2368416117988,551.2676859271123
900,233,152.6829376220703,247.34707641601562,831.2499070483833,551.3218746811176
900,233,152.7978057861328,247.82423400878906,833.1920889387189,551.6460580841436
900,233,152.4618377685547,247.17523193359375,830.958401500927,550.434044510085
900,233,152.78794860839844,254.62677001953125,864.6199822770841,549.199837678103
900,233,150.02041625976562,282.91015625,1001.4787164094763,527.3316337234692
900,233,148.97459411621094,281.6307067871094,997.945655031292,523.2970113872873
900,233,144.3233184814453,281.7981262207031,1009.276110386528,503.28304410909357
900,233,148.5520782470703,280.609619140625,994.1905937866533,521.8451824683013
900,233,148.75692749023438,280.01190185546875,990.9661209216544,522.9352481450923
900,233,148.76760864257812,280.09674072265625,991.3335554412935,522.9510911994893
900,233,148.51133728027344,279.80078125,990.5488763641836,521.9562296619981
900,233,148.075927734375,278.96917724609375,987.6978774842011,520.3821234113497
900,233,148.90074157714844,279.0361633300781,986.1349617913002,523.8970500885746
900,233,142.7785186767578,280.8071594238281,1008.2074833574064,497.00577229849125
900,233,149.29254150390625,279.1139221191406,985.6046412705072,525.5504627764404
900,233,148.53492736816406,278.3407897949219,983.7549347808292,522.5733781172878
900,233,148.2222442626953,277.9393005371094,982.6110965279995,521.3737930340948
900,233,149.63929748535156,278.6423034667969,982.6402309263585,527.2047720259873
900,233,148.9453887939453,278.2147216796875,982.2412409535008,524.3788818543869
900,233,149.09764099121094,278.13507080078125,981.527929847234,525.0602186045736
900,233,149.33810424804688,278.34234619140625,981.9390592818456,526.0186003938744
900,233,149.20114135742188,277.7496337890625,979.5135421196953,525.6404622950283
900,233,149.29981994628906,277.92193603515625,980.0850343660718,526.0029216044095
900,233,148.8301239013672,277.69842529296875,980.1192660461296,524.0668275766163
900,233,148.58465576171875,277.59930419921875,980.2188166966898,523.0487535669154
900,233,149.6443634033203,278.1311950683594,980.269079210733,527.4071250500511
1440,233,147.9971923828125,278.8419189453125,987.2890738741961,520.0893061842314
1440,233,148.0882110595703,278.9793395996094,987.7169135513905,520.4312298216915
1440,233,148.08792114257812,278.5391845703125,985.6854916186788,520.5855313216623
1440,233,147.1162109375,277.91650390625,985.0163388163098,516.6367685411237
1440,233,147.5301513671875,277.931884765625,984.1477810106179,518.407211523636
1440,233,148.19305419921875,278.8243408203125,986.7633506834367,520.9358002538341
1440,233,147.48321533203125,279.9836120605469,993.7266022381198,517.4807927213772
1440,233,139.45228576660156,312.61920166015625,1162.6252396290245,471.49366012683254
1440,233,145.57431030273438,313.3215637207031,1151.9720123079492,497.51003298652256
1440,233,145.1259765625,313.388916015625,1153.3005936928932,495.562799693534
1440,233,302.2738342285156,47.191810607910156,-432.3576018690355,1263.8259164766673
1440,233,41.0828857421875,-8.377029418945312,-96.04982302256127,162.9074251905036
1440,233,145.92201232910156,317.56768798828125,1170.7860327045173,497.50120945190804
1440,233,144.66302490234375,314.64422607421875,1160.14684352534,493.13304346100733
1440,233,144.92205810546875,313.906005859375,1156.1507181594598,494.5052199873465
1440,233,143.97445678710938,312.9188232421875,1153.7440330657641,490.7886990798868
1440,233,144.6335906982422,311.3636474609375,1145.068085131941,494.16608101854683
1440,233,145.17210388183594,311.4067687988281,1144.0448410167724,496.461160228984
1440,233,145.57017517089844,311.84222412109375,1145.1516764827586,498.0150726894532
1440,233,141.14002990722656,310.7322082519531,1150.0826245731516,479.4012239019474
1440,233,143.76541137695312,311.40643310546875,1147.2362195284877,490.4263167327688
1440,233,144.17567443847656,311.73602294921875,1147.8266288891946,492.0699456141862
1440,233,141.93055725097656,310.8315734863281,1148.7470188266693,482.7576129859383
1440,233,146.40591430664062,311.3569641113281,1141.0143874730297,501.77202770442227
1440,233,143.76287841796875,310.5373840332031,1143.2297979024638,490.72256098550184
1440,233,144.42825317382812,311.213134765625,1144.8392853017467,493.33833566760075
1440,233,145.75901794433594,310.9740295410156,1140.7148127807186,499.1320510532033
1440,233,144.82766723632812,310.2605895996094,1139.5350397750935,495.38851092082257
1440,233,145.0038299560547,310.11480712890625,1138.46214410078,496.1957981629828
360,584,144.41258239746094,311.74017333984375,1147.3080534894307,493.0848563812774
360,584,145.701416015625,312.15435791015625,1146.2948239636912,498.46781517048373
360,584,155.06097412109375,286.2685241699219,1005.5422961384128,547.7697220314119
360,584,173.36444091796875,242.39793395996094,761.4578821733444,641.7981833909614
360,584,172.25985717773438,241.3482666015625,759.1190421390587,637.4302611795327
360,584,173.1246795654297,241.21484375,756.5400792093034,641.1876536786467
360,584,172.95028686523438,240.76881408691406,754.8767163222193,640.597099160655
360,584,173.08929443359375,240.546630859375,753.5354336797343,641.2719832405896
360,584,170.2214813232422,244.77255249023438,779.5548004701288,627.4751647357228
360,584,170.72329711914062,244.18930053710938,775.7230518259499,629.8341581035753
360,584,163.2779083251953,242.62869262695312,785.4177726337666,598.443609557983
360,584,169.72787475585938,243.49468994140625,774.7756396045445,625.8090850689892
360,584,170.07948303222656,243.1773223876953,772.5123522079217,627.4297011168188
360,584,169.8957061767578,243.1409149169922,772.7614075077715,626.6541315243546
360,584,170.57029724121094,242.95565795898438,770.3749295905735,629.6137151918799
360,584,170.03927612304688,242.88072204589844,771.2342885964777,627.3620211543896
360,584,170.13491821289062,242.994873046875,771.5442041241387,627.7320032650314
360,584,169.90805053710938,242.47361755371094,769.6526517261384,626.94290559785
360,584,169.82806396484375,242.51791381835938,770.0387104547234,626.5840951674255
360,584,169.4529266357422,242.4105682373047,770.3946155660387,625.0126236031194
360,584,169.54360961914062,242.08529663085938,768.6870887450046,625.5166167281596
360,584,169.66246032714844,241.7010498046875,766.6433533924096,626.1622955302605
360,584,169.89205932617188,242.1256866455078,768.082643295727,626.9972548883053
360,584,169.28561401367188,242.13182067871094,769.4874797024981,624.3933284764187
360,584,169.25241088867188,242.14837646484375,769.6392782824173,624.2450305307751
360,584,169.1962127685547,242.2479705810547,770.226637318338,623.9687352386377
360,584,169.2225341796875,242.47689819335938,771.2237912165583,624.0007586323212
360,584,169.1976776123047,242.89024353027344,773.1885176578241,623.7480484332087
360,584,169.3671875,243.0460968017578,773.5232955433169,624.4201995296874
900,584,167.56495666503906,243.38133239746094,779.1617162971822,616.5698392349648
900,584,167.53697204589844,243.53887939453125,779.9525891808906,616.3941050768142
900,584,167.69000244140625,243.0504913330078,777.3504796543656,617.2232230571022
900,584,166.6470489501953,243.80043029785156,783.1800595246162,612.483747201689
900,584,167.30706787109375,243.0309295654297,778.1293578175168,615.5872782307382
900,584,166.77694702148438,250.10342407226562,811.9844795396906,610.8136337723624
900,584,163.45140075683594,277.836669921875,947.5699472418269,586.7458631855919
900,584,162.82632446289062,277.4587707519531,947.2440922033009,584.1977190777217
900,584,164.11318969726562,279.302978515625,952.8373714639442,589.0668807943445
900,584,38.85557174682617,31.66067123413086,93.84929448734081,139.2030264101412
900,584,205.14047241210938,272.939453125,830.3344068993763,767.330042898286
900,584,175.1154022216797,279.8672790527344,930.4696384005881,636.0689211006938
900,584,161.94993591308594,277.8365478515625,950.9774274403289,580.3043539345568
900,584,162.18551635742188,275.5687255859375,939.9727651257973,582.1164562165868
900,584,161.72543334960938,274.6809387207031,936.9183888874721,580.456350729075
900,584,161.79904174804688,273.98095703125,933.5196802860343,581.0195087027441
900,584,160.76052856445312,273.8177490234375,935.1234221157274,576.6217773072326
900,584,142.5550994873047,287.9571533203125,1041.7242440945352,493.52054543151445
900,584,164.18145751953125,274.4757995605469,930.3966008301828,591.0656267619626
900,584,163.6533966064453,274.2608337402344,930.6027594778316,588.8761173551422
900,584,162.48468017578125,273.5472717285156,929.9611986049595,584.1142790096087
900,584,163.0432891845703,273.8558654785156,930.1179570289759,586.4017582616783
900,584,164.17489624023438,274.9320068359375,932.5176826920631,590.8762597425798
900,584,161.7565155029297,273.77935791015625,932.6854767788848,580.9083061287444
900,584,164.62673950195312,275.27911376953125,933.0945845880367,592.6920847893896
900,584,163.6390838623047,274.8264465332031,933.2465322081429,588.6148326220327
900,584,163.11233520507812,273.9700012207031,930.4881702031228,586.6576438762289
900,584,163.04803466796875,274.3796081542969,932.525167837639,586.23703310613
900,584,161.50375366210938,274.2599792480469,935.478101072872,579.6540670960795
1440,584,163.902099609375,275.0292663574219,933.5859015390112,589.6715431646096
1440,584,163.69432067871094,274.8277893066406,933.1273542200839,588.851333912092
1440,584,163.18377685546875,274.10986328125,930.9717173911666,586.914715810985
1440,584,161.7312469482422,273.81268310546875,932.896685322511,580.7881228071319
1440,584,163.68392944335938,274.5732116699219,931.9756223931228,588.8967182167466
1440,584,162.27005004882812,273.5487060546875,930.4549906701284,583.1929705522255
1440,584,162.14382934570312,273.8275146484375,932.0286739460746,582.5529337103687
1440,584,158.9619140625,311.19818115234375,1111.781562333348,555.695621475389
1440,584,156.0913543701172,308.8683776855469,1107.5411050211187,544.203731098445
1440,584,158.78753662109375,309.8547668457031,1105.9751759643968,555.4222569569296
1440,584,158.73440551757812,309.462890625,1104.2865841804987,555.3327991989996
1440,584,142.81997680664062,313.2845458984375,1158.0529315315987,485.706531913064
1440,584,157.46640014648438,308.9008483886719,1104.5699175385143,550.0914483647027
1440,584,158.57266235351562,308.8957214355469,1102.0352398892244,554.8393226478205
1440,584,156.33526611328125,305.8734436035156,1093.1606482261948,546.3085283846193
1440,584,156.54098510742188,306.2718811035156,1094.533185799619,547.0502967761504
1440,584,159.58213806152344,306.98974609375,1090.9445324483813,559.8437016651484
1440,584,151.57498168945312,307.0992736816406,1109.6249366371012,525.4528648126359
1440,584,153.82884216308594,305.6221618652344,1097.689659108795,535.6443217422166
1440,584,159.68124389648438,306.547607421875,1088.6783428331953,560.4251296907848
1440,584,158.060302734375,305.6014709472656,1087.989512219237,553.805355379017
1440,584,143.975830078125,308.3760986328125,1132.7683513694053,492.39993294223734
1440,584,157.26998901367188,305.54449462890625,1089.5203315565207,550.4349030620124
1440,584,153.779052734375,304.7930908203125,1093.9750688476818,535.7236995622433
1440,584,151.75645446777344,305.88836669921875,1103.6225884295277,526.6593348678736
1440,584,158.39813232421875,306.33892822265625,1090.6273486285693,554.9940964665143
1440,584,157.33694458007812,306.40240478515625,1093.3291004936723,550.4189796569925
1440,584,156.48414611816406,304.6604309082031,1087.2225579827082,547.3759137523651
1440,584,156.8773956298828,305.31634521484375,1089.3581391198397,548.8312324722368
360,935,155.8939971923828,306.4241943359375,1096.7049172261354,544.2207774520057
360,935,155.08982849121094,306.1124267578125,1097.0908805472243,540.8809248460872
360,935,156.9581756591797,306.45330810546875,1094.4238421887944,548.7760047278464
360,935,162.1392059326172,293.3700256347656,1022.2618009027397,575.6270188865124
360,935,179.17977905273438,245.24462890625,761.4005963776362,665.7410363172736
360,935,182.56265258789062,246.07398986816406,757.5510489313881,679.9610822558968
360,935,185.1865692138672,246.2820281982422,752.5557082565197,691.1446351462598
360,935,183.178466796875,243.626708984375,744.8548140065601,683.4678737467384
360,935,180.98410034179688,243.2441864013672,748.0696084084792,674.1888283788716
360,935,176.2626190185547,244.37692260742188,764.0160311346722,653.5325352527543
360,935,180.94558715820312,244.46958923339844,753.8143886565563,673.5905578697594
360,935,178.84075927734375,243.17300415039062,752.6059611543869,665.018667262718
360,935,4.337947845458984,42.492027282714844,222.20335260710374,-12.711412162039657
360,935,355.4994812011719,13.076959609985352,-710.6691373700037,1504.229212486916
360,935,32.15877151489258,27.492122650146484,89.80468348585308,111.94567021289893
360,935,220.40582275390625,232.7030487060547,609.9240276763063,847.0401660453562
360,935,182.4413604736328,244.67018127441406,751.3453442827682,679.9368058611764
360,935,184.20285034179688,244.00315856933594,744.2676240779219,687.7296295555384
360,935,183.5128936767578,242.96112060546875,741.0228812071404,685.1378354294701
360,935,183.0926055908203,242.003662109375,737.5565223622611,683.6730783505146
360,935,183.83734130859375,241.43270874023438,733.2301703548252,687.0698954103168
360,935,184.16949462890625,241.4452362060547,732.5340805899992,688.4904654375072
360,935,182.67034912109375,241.02145385742188,733.980368267117,682.2086228084124
360,935,178.93199157714844,241.0686798095703,742.6837689833445,666.1537120928243
360,935,182.14370727539062,240.89263916015625,734.5810429713287,679.9947567221551
360,935,179.4643096923828,240.62623596191406,739.4328597757046,668.593806031667
360,935,180.0268096923828,240.28341674804688,736.573384075354,671.12817954501
360,935,183.60919189453125,242.04794311523438,736.5884020364821,685.8736775172238
360,935,183.1412353515625,241.3747100830078,734.5424358569788,684.1039725097738
900,935,179.25230407714844,242.82980346679688,750.0873643184835,666.9055508084552
900,935,174.67503356933594,242.51490783691406,759.0231201290569,647.3795228702799
900,935,180.28175354003906,242.69525146484375,747.1295157949273,671.3696218954593
900,935,179.70277404785156,242.29486083984375,746.5951925248202,669.0271895010926
900,935,179.2106475830078,242.73731994628906,749.754944665297,666.7595195296697
900,935,172.07350158691406,271.51568603515625,898.8170745540468,625.9699727689456
900,935,178.74754333496094,276.3377990722656,905.9306782117727,652.8987294815396
900,935,178.56784057617188,275.9269714355469,904.4418866584351,652.2729539067234
900,935,174.89056396484375,273.48907470703125,901.5334873874666,637.3583026521925
900,935,176.74441528320312,274.26080322265625,900.8884599331608,645.0389367361129
900,935,176.38400268554688,273.39984130859375,897.7316942891254,643.7969555094268
900,935,174.66262817382812,273.1431579589844,900.4538522751728,636.5026600549868
900,935,178.2084197998047,274.79510498046875,900.0321747600344,651.130962055329
900,935,179.0420379638672,275.42523193359375,901.0491481698274,654.4846538866216
900,935,174.5272674560547,273.68988037109375,903.2851692973251,635.7287335168721
900,935,177.9750213623047,274.7740478515625,900.4647302404219,650.1370823926858
900,935,178.7373809814453,275.2021179199219,900.7106037036608,653.2564667192823
900,935,177.29908752441406,275.83538818359375,906.8989024906675,646.8621410535321
900,935,176.4090576171875,274.37872314453125,902.1940642376522,643.5585210142037
900,935,177.44976806640625,275.0980529785156,903.1528032135361,647.769152556964
900,935,178.99591064453125,275.9990234375,903.802892979633,654.0839886884255
900,935,179.2433319091797,275.7903747558594,902.2780170055522,655.2192039519279
900,935,176.56011962890625,274.2724914550781,901.3607380191305,644.2441449825949
900,935,172.3523712158203,271.50732421875,898.1454884601388,627.1693282535464
900,935,174.9429168701172,273.6038513183594,901.9445495285307,637.5423453453069
900,935,177.04054260253906,275.0452880859375,903.838066682938,646.0321486709673
900,935,179.2477569580078,275.39410400390625,900.4384951491704,655.3782253414302
900,935,179.51998901367188,274.95196533203125,897.7793414632732,656.7023957797436
900,935,177.66546630859375,274.7109680175781,900.8761391895214,648.8313275421674
1440,935,171.77630615234375,271.19793701171875,898.0246888259511,624.8072398064749
1440,935,172.20327758789062,270.5843505859375,894.2227765702164,626.8558573229926
1440,935,174.0985107421875,271.37457275390625,893.5692004330449,634.7074914492017
1440,935,172.48135375976562,272.04522705078125,900.336078144657,627.5325982578963
1440,935,173.94613647460938,272.2698974609375,898.0485401220511,633.7373820416558
1440,935,178.11041259765625,274.0567932128906,896.8460415165977,650.9714038178438
1440,935,178.471435546875,274.21270751953125,896.7464024323556,652.4651585895316
1440,935,176.9779815673828,272.7578430175781,893.4195363255092,646.5721052020635
1440,935,173.97413635253906,271.88897705078125,896.226376312662,633.9921190399508
1440,935,178.47499084472656,273.90899658203125,895.336179063655,652.5877391083958
1440,935,178.074951171875,288.3891296386719,963.0951595431525,645.7543990946004
1440,935,174.90789794921875,304.7315673828125,1045.7325130129248,626.3919614342582
1440,935,169.61465454101562,301.08868408203125,1040.9289494394898,604.9703511783026
1440,935,154.82948303222656,303.8706359863281,1087.3320576393014,540.5562172094601
1440,935,171.01010131835938,301.25677490234375,1038.5375779155147,610.8976659257011
1440,935,171.7150421142578,301.7346496582031,1039.1437164864358,613.7531128885943
1440,935,171.56076049804688,301.35113525390625,1037.723321713811,613.2267464009064
1440,935,154.0478515625,305.2572021484375,1095.5076258107852,536.7128833981717
1440,935,172.41583251953125,303.95391845703125,1047.7988338985524,615.9753670064418
1440,935,175.7454833984375,306.4263000488281,1051.6554859668618,629.3864552514231
1440,935,162.30865478515625,299.45306396484375,1049.9609716292136,574.2043148834808
1440,935,173.19285583496094,303.83026123046875,1045.4642437278642,619.3526347517918
1440,935,168.47764587402344,300.0447082519531,1038.6899842004386,600.461308923861
1440,935,173.84352111816406,304.06671142578125,1045.078983848693,622.0605464973927
1440,935,172.53665161132812,302.5885009765625,1041.2208238642738,616.9762239940358
1440,935,163.48886108398438,301.55908203125,1057.005055981689,578.523370219474
1440,935,171.80517578125,301.32806396484375,1037.0620307606155,614.2834847319074
1440,935,147.03390502929688,310.0153503417969,1133.3950883714697,504.9403296509671
1440,935,150.59341430664062,305.9902648925781,1106.7329087533585,521.6336752703983
